oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LR,0.952,0.053,0.143,0.037,0.077,0.553,0.249,0.607
No,0,DT,0.97,0.1,0.143,0.018,0.118,0.562,0.249,0.606
No,0,RF,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.98,0.364,0.571,0.014,0.444,0.779,0.723,0.303
No,0,Adaboost,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
No,0,GBDT,0.95,0.05,0.143,0.039,0.074,0.552,0.249,0.607
Random,0.01,SVM,0.98,0.0,0.0,0.006,0.0,0.497,0.0,0.707
Random,0.01,KNN,0.97,0.0,0.0,0.016,0.0,0.492,0.0,0.707
Random,0.01,LR,0.916,0.027,0.143,0.073,0.045,0.535,0.248,0.608
Random,0.01,DT,0.966,0.222,0.571,0.028,0.32,0.772,0.72,0.304
Random,0.01,RF,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
Random,0.01,LightGBM,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
Random,0.01,Adaboost,0.972,0.182,0.286,0.018,0.222,0.634,0.443,0.505
Random,0.01,GBDT,0.97,0.25,0.571,0.024,0.348,0.774,0.721,0.304
SMOTE,0.01,SVM,0.636,0.017,0.429,0.361,0.032,0.534,0.513,0.478
SMOTE,0.01,KNN,0.744,0.031,0.571,0.254,0.059,0.659,0.647,0.352
SMOTE,0.01,LR,0.646,0.017,0.429,0.351,0.033,0.539,0.516,0.474
SMOTE,0.01,DT,0.976,0.308,0.571,0.018,0.4,0.777,0.722,0.303
SMOTE,0.01,RF,0.98,0.333,0.429,0.012,0.375,0.708,0.598,0.404
SMOTE,0.01,LightGBM,0.984,0.4,0.286,0.006,0.333,0.64,0.444,0.505
SMOTE,0.01,Adaboost,0.978,0.0,0.0,0.008,0.0,0.496,0.0,0.707
SMOTE,0.01,GBDT,0.984,0.4,0.286,0.006,0.333,0.64,0.444,0.505
ADASYN,0.03,SVM,0.628,0.016,0.429,0.369,0.031,0.53,0.51,0.481
ADASYN,0.03,KNN,0.752,0.032,0.571,0.245,0.061,0.663,0.65,0.349
ADASYN,0.03,LR,0.644,0.017,0.429,0.353,0.033,0.538,0.516,0.475
ADASYN,0.03,DT,0.946,0.143,0.571,0.049,0.229,0.761,0.714,0.305
ADASYN,0.03,RF,0.974,0.25,0.429,0.018,0.316,0.705,0.597,0.404
ADASYN,0.03,LightGBM,0.976,0.222,0.286,0.014,0.25,0.636,0.443,0.505
ADASYN,0.03,Adaboost,0.97,0.1,0.143,0.018,0.118,0.562,0.249,0.606
ADASYN,0.03,GBDT,0.984,0.4,0.286,0.006,0.333,0.64,0.444,0.505
BorderlineSMOTE,0.02,SVM,0.596,0.02,0.571,0.404,0.038,0.584,0.584,0.416
BorderlineSMOTE,0.02,KNN,0.92,0.029,0.143,0.069,0.048,0.537,0.248,0.608
BorderlineSMOTE,0.02,LR,0.51,0.02,0.714,0.493,0.039,0.611,0.593,0.403
BorderlineSMOTE,0.02,DT,0.962,0.0,0.0,0.024,0.0,0.488,0.0,0.707
BorderlineSMOTE,0.02,RF,0.984,0.333,0.143,0.004,0.2,0.569,0.25,0.606
BorderlineSMOTE,0.02,LightGBM,0.98,0.286,0.286,0.01,0.286,0.638,0.443,0.505
BorderlineSMOTE,0.02,Adaboost,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
BorderlineSMOTE,0.02,GBDT,0.976,0.0,0.0,0.01,0.0,0.495,0.0,0.707
SVMSMOTE,0.03,SVM,0.654,0.023,0.571,0.345,0.044,0.613,0.61,0.389
SVMSMOTE,0.03,KNN,0.914,0.05,0.286,0.077,0.085,0.604,0.436,0.508
SVMSMOTE,0.03,LR,0.52,0.021,0.714,0.483,0.04,0.616,0.6,0.397
