oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.825,0.65,0.317,0.044,0.426,0.637,0.476,0.484
No,0,KNN,0.795,0.5,0.268,0.069,0.349,0.6,0.417,0.52
No,0,LR,0.835,0.682,0.366,0.044,0.476,0.661,0.529,0.449
No,0,DT,0.755,0.429,0.585,0.201,0.495,0.692,0.676,0.326
No,0,RF,0.845,0.692,0.439,0.05,0.537,0.694,0.6,0.398
No,0,LightGBM,0.84,0.655,0.463,0.063,0.543,0.7,0.62,0.382
No,0,Adaboost,0.785,0.469,0.366,0.107,0.411,0.629,0.519,0.455
No,0,GBDT,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
Random,0.01,SVM,0.675,0.318,0.512,0.283,0.393,0.615,0.598,0.399
Random,0.01,KNN,0.76,0.431,0.537,0.182,0.478,0.677,0.648,0.352
Random,0.01,LR,0.73,0.39,0.561,0.226,0.46,0.667,0.65,0.349
Random,0.01,DT,0.75,0.395,0.415,0.164,0.405,0.626,0.554,0.43
Random,0.01,RF,0.81,0.548,0.415,0.088,0.472,0.663,0.57,0.419
Random,0.01,LightGBM,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
Random,0.01,Adaboost,0.77,0.442,0.463,0.151,0.452,0.656,0.6,0.394
Random,0.01,GBDT,0.805,0.523,0.561,0.132,0.541,0.714,0.681,0.324
SMOTE,0.02,SVM,0.725,0.391,0.61,0.245,0.476,0.682,0.675,0.326
SMOTE,0.02,KNN,0.675,0.312,0.488,0.277,0.381,0.606,0.583,0.412
SMOTE,0.02,LR,0.725,0.383,0.561,0.233,0.455,0.664,0.648,0.351
SMOTE,0.02,DT,0.71,0.333,0.415,0.214,0.37,0.6,0.543,0.441
SMOTE,0.02,RF,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
SMOTE,0.02,LightGBM,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
SMOTE,0.02,Adaboost,0.775,0.455,0.488,0.151,0.471,0.668,0.62,0.378
SMOTE,0.02,GBDT,0.765,0.412,0.341,0.126,0.373,0.608,0.491,0.474
ADASYN,0.02,SVM,0.68,0.351,0.659,0.314,0.458,0.672,0.672,0.328
ADASYN,0.02,KNN,0.71,0.369,0.585,0.258,0.453,0.664,0.654,0.345
ADASYN,0.02,LR,0.7,0.37,0.659,0.289,0.474,0.685,0.684,0.316
ADASYN,0.02,DT,0.695,0.357,0.61,0.283,0.45,0.663,0.659,0.341
ADASYN,0.02,RF,0.815,0.556,0.488,0.101,0.519,0.694,0.633,0.369
ADASYN,0.02,LightGBM,0.79,0.487,0.463,0.126,0.475,0.669,0.606,0.39
ADASYN,0.02,Adaboost,0.76,0.429,0.512,0.176,0.467,0.668,0.632,0.367
ADASYN,0.02,GBDT,0.79,0.488,0.488,0.132,0.488,0.678,0.625,0.374
BorderlineSMOTE,0.02,SVM,0.7,0.362,0.61,0.277,0.455,0.667,0.662,0.338
BorderlineSMOTE,0.02,KNN,0.695,0.344,0.537,0.264,0.419,0.636,0.621,0.377
BorderlineSMOTE,0.02,LR,0.715,0.371,0.561,0.245,0.447,0.658,0.644,0.356
BorderlineSMOTE,0.02,DT,0.7,0.358,0.585,0.27,0.444,0.657,0.65,0.35
BorderlineSMOTE,0.02,RF,0.825,0.579,0.537,0.101,0.557,0.718,0.672,0.335
BorderlineSMOTE,0.02,LightGBM,0.78,0.463,0.463,0.138,0.463,0.663,0.603,0.392
BorderlineSMOTE,0.02,Adaboost,0.77,0.449,0.537,0.17,0.489,0.683,0.652,0.349
BorderlineSMOTE,0.02,GBDT,0.795,0.5,0.463,0.119,0.481,0.672,0.607,0.389
