oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.863,1.0,0.024,0.0,0.047,0.512,0.047,0.69
No,0,KNN,0.853,0.444,0.19,0.039,0.267,0.576,0.318,0.573
No,0,LR,0.887,0.722,0.31,0.019,0.433,0.645,0.471,0.488
No,0,DT,0.827,0.381,0.381,0.101,0.381,0.64,0.535,0.443
No,0,RF,0.873,0.75,0.143,0.008,0.24,0.568,0.25,0.606
No,0,LightGBM,0.863,0.533,0.19,0.027,0.281,0.582,0.319,0.573
No,0,Adaboost,0.873,0.6,0.286,0.031,0.387,0.627,0.441,0.506
No,0,GBDT,0.8,0.295,0.31,0.12,0.302,0.595,0.458,0.496
Random,0.01,SVM,0.737,0.287,0.595,0.24,0.388,0.677,0.667,0.333
Random,0.01,KNN,0.823,0.407,0.571,0.136,0.475,0.718,0.688,0.318
Random,0.01,LR,0.74,0.312,0.714,0.256,0.435,0.729,0.729,0.271
Random,0.01,DT,0.81,0.286,0.238,0.097,0.26,0.571,0.377,0.543
Random,0.01,RF,0.873,0.583,0.333,0.039,0.424,0.647,0.495,0.472
Random,0.01,LightGBM,0.85,0.448,0.31,0.062,0.366,0.624,0.465,0.49
Random,0.01,Adaboost,0.787,0.304,0.405,0.151,0.347,0.627,0.548,0.434
Random,0.01,GBDT,0.83,0.355,0.262,0.078,0.301,0.592,0.408,0.525
SMOTE,0.03,SVM,0.767,0.306,0.524,0.194,0.386,0.665,0.635,0.364
SMOTE,0.03,KNN,0.793,0.368,0.667,0.186,0.475,0.74,0.733,0.27
SMOTE,0.03,LR,0.733,0.302,0.69,0.26,0.42,0.715,0.715,0.286
SMOTE,0.03,DT,0.793,0.328,0.452,0.151,0.38,0.651,0.59,0.402
SMOTE,0.03,RF,0.837,0.4,0.333,0.081,0.364,0.626,0.489,0.475
SMOTE,0.03,LightGBM,0.867,0.538,0.333,0.047,0.412,0.643,0.494,0.473
SMOTE,0.03,Adaboost,0.793,0.315,0.405,0.143,0.354,0.631,0.55,0.433
SMOTE,0.03,GBDT,0.833,0.395,0.357,0.089,0.375,0.634,0.513,0.459
ADASYN,0.02,SVM,0.76,0.297,0.524,0.202,0.379,0.661,0.633,0.366
ADASYN,0.02,KNN,0.79,0.356,0.619,0.182,0.452,0.718,0.705,0.299
ADASYN,0.02,LR,0.72,0.29,0.69,0.275,0.408,0.708,0.707,0.293
ADASYN,0.02,DT,0.76,0.258,0.381,0.178,0.308,0.601,0.521,0.456
ADASYN,0.02,RF,0.84,0.421,0.381,0.085,0.4,0.648,0.538,0.442
ADASYN,0.02,LightGBM,0.86,0.5,0.333,0.054,0.4,0.64,0.493,0.473
ADASYN,0.02,Adaboost,0.817,0.367,0.429,0.12,0.396,0.654,0.576,0.413
ADASYN,0.02,GBDT,0.817,0.362,0.405,0.116,0.382,0.644,0.555,0.429
BorderlineSMOTE,0.02,SVM,0.773,0.319,0.548,0.19,0.404,0.679,0.653,0.347
BorderlineSMOTE,0.02,KNN,0.803,0.38,0.643,0.171,0.478,0.736,0.724,0.28
BorderlineSMOTE,0.02,LR,0.757,0.326,0.69,0.233,0.443,0.729,0.727,0.274
BorderlineSMOTE,0.02,DT,0.81,0.364,0.476,0.136,0.412,0.67,0.614,0.383
BorderlineSMOTE,0.02,RF,0.853,0.477,0.5,0.089,0.488,0.705,0.646,0.359
BorderlineSMOTE,0.02,LightGBM,0.863,0.519,0.333,0.05,0.406,0.641,0.493,0.473
BorderlineSMOTE,0.02,Adaboost,0.793,0.315,0.405,0.143,0.354,0.631,0.55,0.433
BorderlineSMOTE,0.02,GBDT,0.793,0.237,0.214,0.112,0.225,0.551,0.345,0.561
SVMSMOTE,0.05,SVM,0.807,0.346,0.429,0.132,0.383,0.648,0.574,0.415
SVMSMOTE,0.05,KNN,0.8,0.359,0.548,0.159,0.434,0.694,0.663,0.339
SVMSMOTE,0.05,LR,0.783,0.338,0.571,0.182,0.425,0.695,0.673,0.329
SVMSMOTE,0.05,DT,0.787,0.288,0.357,0.143,0.319,0.607,0.504,0.466
SVMSMOTE,0.05,RF,0.857,0.484,0.357,0.062,0.411,0.648,0.517,0.457
SVMSMOTE,0.05,LightGBM,0.853,0.462,0.286,0.054,0.353,0.616,0.439,0.507
SVMSMOTE,0.05,Adaboost,0.823,0.372,0.381,0.105,0.376,0.638,0.534,0.444
SVMSMOTE,0.05,GBDT,0.807,0.289,0.262,0.105,0.275,0.579,0.405,0.527
SMOTUNED,67.8,SVM,0.78,0.338,0.595,0.19,0.431,0.703,0.686,0.316
SMOTUNED,51.27,KNN,0.793,0.339,0.5,0.159,0.404,0.671,0.627,0.371
SMOTUNED,1621.55,LR,0.717,0.283,0.667,0.275,0.397,0.696,0.695,0.306
SMOTUNED,73.69,DT,0.703,0.23,0.476,0.26,0.31,0.608,0.58,0.413
SMOTUNED,342.63,RF,0.807,0.371,0.548,0.151,0.442,0.698,0.666,0.337
SMOTUNED,308.85,LightGBM,0.827,0.414,0.571,0.132,0.48,0.72,0.689,0.317
SMOTUNED,561.09,Adaboost,0.757,0.288,0.5,0.202,0.365,0.649,0.615,0.381
SMOTUNED,1024.97,GBDT,0.807,0.371,0.548,0.151,0.442,0.698,0.666,0.337
DAZZLE,1911.7389552593231,SVM,0.867,0.562,0.214,0.027,0.31,0.594,0.351,0.556
DAZZLE,1911.7389552593231,KNN,0.84,0.312,0.119,0.043,0.172,0.538,0.212,0.624
DAZZLE,1911.7389552593231,LR,0.84,0.412,0.333,0.078,0.368,0.628,0.49,0.475
DAZZLE,1911.7389552593231,DT,0.803,0.319,0.357,0.124,0.337,0.617,0.507,0.463
DAZZLE,1911.7389552593231,RF,0.873,0.667,0.19,0.016,0.296,0.587,0.319,0.573
DAZZLE,1911.7389552593231,LightGBM,0.853,0.455,0.238,0.047,0.312,0.596,0.381,0.54
DAZZLE,1911.7389552593231,Adaboost,0.867,0.545,0.286,0.039,0.375,0.623,0.44,0.506
DAZZLE,1911.7389552593231,GBDT,0.84,0.421,0.381,0.085,0.4,0.648,0.538,0.442
WGAN,12.66,SVM,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,12.66,KNN,0.267,0.155,0.952,0.845,0.267,0.554,0.267,0.598
WGAN,12.66,LR,0.747,0.185,0.238,0.171,0.208,0.534,0.37,0.552
WGAN,12.66,DT,0.14,0.14,1.0,1.0,0.246,0.5,0.0,0.707
WGAN,12.66,RF,0.143,0.14,1.0,0.996,0.246,0.502,0.008,0.704
WGAN,12.66,LightGBM,0.247,0.146,0.905,0.86,0.252,0.522,0.242,0.612
WGAN,12.66,Adaboost,0.703,0.073,0.095,0.198,0.082,0.449,0.17,0.655
WGAN,12.66,GBDT,0.403,0.145,0.667,0.64,0.238,0.514,0.468,0.51
RP,1.8238470554351807,SVM,0.73,0.29,0.643,0.256,0.4,0.694,0.69,0.311
RP,1.8238470554351807,KNN,0.78,0.329,0.548,0.182,0.411,0.683,0.656,0.345
RP,1.8238470554351807,LR,0.72,0.298,0.738,0.283,0.425,0.728,0.727,0.273
RP,1.8238470554351807,DT,0.803,0.34,0.429,0.136,0.379,0.646,0.573,0.415
RP,1.8238470554351807,RF,0.83,0.395,0.405,0.101,0.4,0.652,0.558,0.427
RP,1.8238470554351807,LightGBM,0.86,0.5,0.405,0.066,0.447,0.669,0.565,0.423
RP,1.8238470554351807,Adaboost,0.823,0.383,0.429,0.112,0.404,0.658,0.578,0.412
RP,1.8238470554351807,GBDT,0.86,0.5,0.452,0.074,0.475,0.689,0.608,0.391
Howso,241.18974208831787,SVM,0.663,0.248,0.69,0.341,0.365,0.675,0.674,0.326
Howso,241.18974208831787,KNN,0.727,0.273,0.571,0.248,0.369,0.662,0.649,0.35
Howso,241.18974208831787,LR,0.637,0.228,0.667,0.368,0.339,0.649,0.649,0.351
Howso,241.18974208831787,DT,0.673,0.208,0.476,0.295,0.29,0.591,0.569,0.425
Howso,241.18974208831787,RF,0.673,0.259,0.714,0.333,0.38,0.69,0.69,0.31
Howso,241.18974208831787,LightGBM,0.723,0.284,0.643,0.264,0.394,0.69,0.686,0.314
Howso,241.18974208831787,Adaboost,0.67,0.256,0.714,0.337,0.377,0.689,0.688,0.313
Howso,241.18974208831787,GBDT,0.703,0.267,0.643,0.287,0.378,0.678,0.676,0.324
DS,0.554192304611206,SVM,0.867,1.0,0.048,0.0,0.091,0.524,0.091,0.673
DS,0.554192304611206,KNN,0.843,0.353,0.143,0.043,0.203,0.55,0.249,0.607
DS,0.554192304611206,LR,0.877,0.667,0.238,0.019,0.351,0.609,0.383,0.539
DS,0.554192304611206,DT,0.817,0.324,0.286,0.097,0.304,0.594,0.434,0.51
DS,0.554192304611206,RF,0.867,0.6,0.143,0.016,0.231,0.564,0.25,0.606
DS,0.554192304611206,LightGBM,0.853,0.45,0.214,0.043,0.29,0.586,0.35,0.556
DS,0.554192304611206,Adaboost,0.85,0.435,0.238,0.05,0.308,0.594,0.381,0.54
DS,0.554192304611206,GBDT,0.8,0.154,0.095,0.085,0.118,0.505,0.173,0.643
SDV_GC,9.725327968597412,SVM,0.867,0.571,0.19,0.023,0.286,0.584,0.319,0.573
SDV_GC,9.725327968597412,KNN,0.853,0.438,0.167,0.035,0.241,0.566,0.284,0.59
SDV_GC,9.725327968597412,LR,0.873,0.591,0.31,0.035,0.406,0.637,0.469,0.489
SDV_GC,9.725327968597412,DT,0.803,0.293,0.286,0.112,0.289,0.587,0.432,0.511
SDV_GC,9.725327968597412,RF,0.863,0.529,0.214,0.031,0.305,0.592,0.351,0.556
SDV_GC,9.725327968597412,LightGBM,0.85,0.412,0.167,0.039,0.237,0.564,0.284,0.59
SDV_GC,9.725327968597412,Adaboost,0.843,0.419,0.31,0.07,0.356,0.62,0.464,0.491
SDV_GC,9.725327968597412,GBDT,0.81,0.317,0.31,0.109,0.313,0.6,0.46,0.494
SDV_GAN,101.35934257507324,SVM,0.863,0.545,0.143,0.019,0.226,0.562,0.249,0.606
SDV_GAN,101.35934257507324,KNN,0.86,0.5,0.19,0.031,0.276,0.58,0.318,0.573
SDV_GAN,101.35934257507324,LR,0.88,0.65,0.31,0.027,0.419,0.641,0.47,0.489
SDV_GAN,101.35934257507324,DT,0.757,0.237,0.333,0.174,0.277,0.579,0.475,0.487
SDV_GAN,101.35934257507324,RF,0.863,0.545,0.143,0.019,0.226,0.562,0.249,0.606
SDV_GAN,101.35934257507324,LightGBM,0.86,0.5,0.19,0.031,0.276,0.58,0.318,0.573
SDV_GAN,101.35934257507324,Adaboost,0.843,0.4,0.238,0.058,0.299,0.59,0.38,0.54
SDV_GAN,101.35934257507324,GBDT,0.833,0.375,0.286,0.078,0.324,0.604,0.436,0.508
