oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.874,1.0,0.041,0.0,0.078,0.52,0.078,0.678
No,0,KNN,0.834,0.29,0.184,0.068,0.225,0.558,0.307,0.579
No,0,LR,0.877,0.636,0.143,0.012,0.233,0.565,0.25,0.606
No,0,DT,0.818,0.279,0.245,0.096,0.261,0.575,0.385,0.538
No,0,RF,0.877,0.615,0.163,0.015,0.258,0.574,0.28,0.592
No,0,LightGBM,0.885,0.688,0.224,0.015,0.338,0.605,0.366,0.548
No,0,Adaboost,0.869,0.5,0.204,0.031,0.29,0.587,0.337,0.563
No,0,GBDT,0.858,0.417,0.204,0.043,0.274,0.58,0.336,0.564
Random,0.01,SVM,0.764,0.29,0.551,0.204,0.38,0.674,0.651,0.349
Random,0.01,KNN,0.791,0.312,0.49,0.164,0.381,0.663,0.618,0.379
Random,0.01,LR,0.756,0.29,0.592,0.219,0.389,0.686,0.673,0.328
Random,0.01,DT,0.831,0.333,0.286,0.086,0.308,0.6,0.435,0.509
Random,0.01,RF,0.869,0.5,0.184,0.028,0.269,0.578,0.309,0.578
Random,0.01,LightGBM,0.871,0.519,0.286,0.04,0.368,0.623,0.44,0.506
Random,0.01,Adaboost,0.764,0.276,0.49,0.194,0.353,0.648,0.609,0.386
Random,0.01,GBDT,0.828,0.326,0.286,0.09,0.304,0.598,0.435,0.509
SMOTE,0.05,SVM,0.764,0.276,0.49,0.194,0.353,0.648,0.609,0.386
SMOTE,0.05,KNN,0.788,0.333,0.612,0.185,0.432,0.714,0.699,0.304
SMOTE,0.05,LR,0.761,0.296,0.592,0.213,0.395,0.689,0.676,0.326
SMOTE,0.05,DT,0.794,0.288,0.388,0.145,0.33,0.621,0.534,0.445
SMOTE,0.05,RF,0.858,0.452,0.388,0.071,0.418,0.658,0.547,0.436
SMOTE,0.05,LightGBM,0.869,0.5,0.265,0.04,0.347,0.613,0.416,0.52
SMOTE,0.05,Adaboost,0.834,0.373,0.388,0.099,0.38,0.644,0.542,0.439
SMOTE,0.05,GBDT,0.869,0.5,0.347,0.052,0.41,0.647,0.508,0.463
ADASYN,0.04,SVM,0.759,0.264,0.469,0.198,0.338,0.636,0.592,0.4
ADASYN,0.04,KNN,0.775,0.312,0.592,0.198,0.408,0.697,0.681,0.321
ADASYN,0.04,LR,0.748,0.286,0.612,0.231,0.39,0.69,0.682,0.319
ADASYN,0.04,DT,0.78,0.274,0.408,0.164,0.328,0.622,0.549,0.434
ADASYN,0.04,RF,0.853,0.425,0.347,0.071,0.382,0.638,0.505,0.465
ADASYN,0.04,LightGBM,0.869,0.5,0.245,0.037,0.329,0.604,0.39,0.535
ADASYN,0.04,Adaboost,0.823,0.327,0.327,0.102,0.327,0.612,0.479,0.482
ADASYN,0.04,GBDT,0.85,0.422,0.388,0.08,0.404,0.654,0.546,0.437
BorderlineSMOTE,0.02,SVM,0.783,0.295,0.469,0.17,0.362,0.65,0.6,0.394
BorderlineSMOTE,0.02,KNN,0.775,0.294,0.51,0.185,0.373,0.663,0.627,0.37
BorderlineSMOTE,0.02,LR,0.791,0.333,0.592,0.179,0.426,0.706,0.688,0.315
BorderlineSMOTE,0.02,DT,0.794,0.294,0.408,0.148,0.342,0.63,0.552,0.431
BorderlineSMOTE,0.02,RF,0.861,0.448,0.265,0.049,0.333,0.608,0.415,0.521
BorderlineSMOTE,0.02,LightGBM,0.874,0.536,0.306,0.04,0.39,0.633,0.464,0.491
BorderlineSMOTE,0.02,Adaboost,0.85,0.426,0.408,0.083,0.417,0.662,0.565,0.423
BorderlineSMOTE,0.02,GBDT,0.826,0.326,0.306,0.096,0.316,0.605,0.457,0.495
SVMSMOTE,0.1,SVM,0.847,0.409,0.367,0.08,0.387,0.644,0.525,0.451
SVMSMOTE,0.1,KNN,0.794,0.306,0.449,0.154,0.364,0.647,0.587,0.405
