oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.909,0.947,0.392,0.004,0.555,0.694,0.563,0.43
No,0,KNN,0.902,0.716,0.53,0.035,0.61,0.748,0.684,0.333
No,0,LR,0.876,0.771,0.204,0.01,0.323,0.597,0.339,0.563
No,0,DT,0.848,0.475,0.53,0.099,0.501,0.716,0.668,0.339
No,0,RF,0.905,0.772,0.486,0.024,0.597,0.731,0.649,0.364
No,0,LightGBM,0.917,0.818,0.547,0.02,0.656,0.763,0.702,0.321
No,0,Adaboost,0.915,0.83,0.514,0.018,0.635,0.748,0.675,0.344
No,0,GBDT,0.892,0.643,0.558,0.052,0.598,0.753,0.702,0.315
Random,0.01,SVM,0.891,0.616,0.646,0.068,0.631,0.789,0.763,0.255
Random,0.01,KNN,0.842,0.468,0.68,0.13,0.554,0.775,0.763,0.245
Random,0.01,LR,0.783,0.364,0.674,0.198,0.473,0.738,0.732,0.27
Random,0.01,DT,0.861,0.515,0.575,0.091,0.543,0.742,0.704,0.308
Random,0.01,RF,0.904,0.726,0.541,0.034,0.62,0.753,0.694,0.325
Random,0.01,LightGBM,0.886,0.601,0.624,0.07,0.612,0.777,0.747,0.27
Random,0.01,Adaboost,0.846,0.478,0.724,0.133,0.576,0.795,0.789,0.217
Random,0.01,GBDT,0.857,0.502,0.608,0.101,0.55,0.753,0.725,0.287
SMOTE,0.04,SVM,0.849,0.484,0.669,0.12,0.561,0.774,0.76,0.249
SMOTE,0.04,KNN,0.808,0.403,0.691,0.172,0.509,0.759,0.753,0.25
SMOTE,0.04,LR,0.771,0.349,0.685,0.215,0.463,0.735,0.732,0.27
SMOTE,0.04,DT,0.84,0.459,0.613,0.122,0.525,0.746,0.722,0.287
SMOTE,0.04,RF,0.881,0.584,0.613,0.074,0.598,0.77,0.738,0.278
SMOTE,0.04,LightGBM,0.891,0.613,0.657,0.07,0.635,0.794,0.77,0.247
SMOTE,0.04,Adaboost,0.856,0.5,0.646,0.109,0.564,0.769,0.749,0.262
SMOTE,0.04,GBDT,0.876,0.563,0.619,0.081,0.589,0.769,0.74,0.276
ADASYN,0.05,SVM,0.686,0.285,0.779,0.33,0.417,0.725,0.721,0.281
ADASYN,0.05,KNN,0.79,0.377,0.691,0.193,0.487,0.749,0.744,0.258
ADASYN,0.05,LR,0.657,0.253,0.707,0.351,0.373,0.678,0.677,0.323
ADASYN,0.05,DT,0.824,0.428,0.652,0.147,0.516,0.752,0.739,0.267
ADASYN,0.05,RF,0.862,0.519,0.619,0.097,0.564,0.761,0.734,0.278
ADASYN,0.05,LightGBM,0.873,0.547,0.674,0.094,0.604,0.79,0.773,0.24
ADASYN,0.05,Adaboost,0.806,0.401,0.707,0.178,0.512,0.765,0.76,0.242
ADASYN,0.05,GBDT,0.836,0.45,0.619,0.128,0.521,0.746,0.724,0.284
BorderlineSMOTE,0.05,SVM,0.72,0.303,0.724,0.28,0.427,0.722,0.722,0.278
BorderlineSMOTE,0.05,KNN,0.795,0.384,0.696,0.188,0.495,0.754,0.75,0.253
BorderlineSMOTE,0.05,LR,0.706,0.255,0.541,0.266,0.347,0.638,0.623,0.375
BorderlineSMOTE,0.05,DT,0.816,0.408,0.613,0.15,0.49,0.732,0.713,0.293
BorderlineSMOTE,0.05,RF,0.873,0.556,0.608,0.082,0.58,0.763,0.731,0.283
BorderlineSMOTE,0.05,LightGBM,0.876,0.557,0.68,0.091,0.612,0.794,0.778,0.236
BorderlineSMOTE,0.05,Adaboost,0.802,0.394,0.702,0.182,0.505,0.76,0.756,0.247
BorderlineSMOTE,0.05,GBDT,0.869,0.538,0.624,0.09,0.578,0.767,0.74,0.273
SVMSMOTE,0.6,SVM,0.856,0.5,0.674,0.114,0.574,0.78,0.766,0.244
SVMSMOTE,0.6,KNN,0.82,0.422,0.669,0.155,0.517,0.757,0.747,0.259
SVMSMOTE,0.6,LR,0.794,0.382,0.696,0.19,0.493,0.753,0.749,0.253
SVMSMOTE,0.6,DT,0.811,0.393,0.569,0.148,0.465,0.711,0.682,0.322
SVMSMOTE,0.6,RF,0.89,0.62,0.613,0.063,0.617,0.775,0.741,0.277
SVMSMOTE,0.6,LightGBM,0.888,0.612,0.619,0.066,0.615,0.776,0.744,0.274
SVMSMOTE,0.6,Adaboost,0.865,0.526,0.68,0.103,0.593,0.788,0.773,0.238
SVMSMOTE,0.6,GBDT,0.874,0.558,0.613,0.082,0.584,0.766,0.735,0.28
SMOTUNED,237.97,SVM,0.878,0.569,0.635,0.081,0.601,0.777,0.751,0.264
SMOTUNED,106.28,KNN,0.792,0.381,0.707,0.194,0.495,0.757,0.754,0.248
SMOTUNED,1860.24,LR,0.788,0.373,0.691,0.196,0.484,0.748,0.743,0.259
SMOTUNED,86.24,DT,0.711,0.294,0.718,0.291,0.417,0.714,0.714,0.286
SMOTUNED,294.45,RF,0.814,0.415,0.713,0.169,0.524,0.772,0.767,0.236
SMOTUNED,166.75,LightGBM,0.828,0.44,0.707,0.152,0.542,0.778,0.771,0.233
SMOTUNED,369.15,Adaboost,0.836,0.456,0.707,0.142,0.554,0.782,0.775,0.23
SMOTUNED,573.59,GBDT,0.788,0.375,0.707,0.198,0.49,0.754,0.751,0.25
DAZZLE,3530.716239452362,SVM,0.915,0.93,0.442,0.006,0.599,0.718,0.612,0.395
DAZZLE,3530.716239452362,KNN,0.9,0.719,0.508,0.034,0.595,0.737,0.666,0.349
DAZZLE,3530.716239452362,LR,0.822,0.411,0.547,0.132,0.469,0.707,0.671,0.334
DAZZLE,3530.716239452362,DT,0.837,0.447,0.541,0.113,0.49,0.714,0.673,0.334
DAZZLE,3530.716239452362,RF,0.906,0.769,0.497,0.025,0.604,0.736,0.659,0.356
DAZZLE,3530.716239452362,LightGBM,0.922,0.867,0.541,0.014,0.667,0.764,0.699,0.324
DAZZLE,3530.716239452362,Adaboost,0.916,0.832,0.519,0.018,0.639,0.751,0.679,0.34
DAZZLE,3530.716239452362,GBDT,0.906,0.723,0.564,0.036,0.634,0.764,0.711,0.31
