oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
No,0,LR,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,DT,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
No,0,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,Adaboost,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
No,0,GBDT,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
Random,0.0,SVM,0.852,0.0,0.0,0.138,0.0,0.431,0.0,0.714
Random,0.0,KNN,0.973,0.0,0.0,0.015,0.0,0.493,0.0,0.707
Random,0.0,LR,0.784,0.033,0.6,0.214,0.063,0.693,0.681,0.321
Random,0.0,DT,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
Random,0.0,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
Random,0.0,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
Random,0.0,Adaboost,0.964,0.0,0.0,0.025,0.0,0.488,0.0,0.707
Random,0.0,GBDT,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
SMOTE,0.01,SVM,0.85,0.0,0.0,0.14,0.0,0.43,0.0,0.714
SMOTE,0.01,KNN,0.922,0.034,0.2,0.069,0.059,0.566,0.329,0.568
SMOTE,0.01,LR,0.784,0.023,0.4,0.211,0.043,0.594,0.531,0.45
SMOTE,0.01,DT,0.951,0.059,0.2,0.039,0.091,0.58,0.331,0.566
SMOTE,0.01,RF,0.973,0.125,0.2,0.017,0.154,0.591,0.332,0.566
SMOTE,0.01,LightGBM,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
SMOTE,0.01,Adaboost,0.942,0.0,0.0,0.047,0.0,0.477,0.0,0.708
SMOTE,0.01,GBDT,0.978,0.167,0.2,0.012,0.182,0.594,0.333,0.566
ADASYN,0.01,SVM,0.852,0.0,0.0,0.138,0.0,0.431,0.0,0.714
ADASYN,0.01,KNN,0.915,0.031,0.2,0.076,0.054,0.562,0.329,0.568
ADASYN,0.01,LR,0.774,0.022,0.4,0.221,0.041,0.589,0.529,0.452
ADASYN,0.01,DT,0.966,0.154,0.4,0.027,0.222,0.686,0.567,0.425
ADASYN,0.01,RF,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
ADASYN,0.01,LightGBM,0.981,0.2,0.2,0.01,0.2,0.595,0.333,0.566
ADASYN,0.01,Adaboost,0.949,0.0,0.0,0.039,0.0,0.48,0.0,0.708
ADASYN,0.01,GBDT,0.976,0.143,0.2,0.015,0.167,0.593,0.333,0.566
BorderlineSMOTE,0.01,SVM,0.954,0.0,0.0,0.034,0.0,0.483,0.0,0.708
BorderlineSMOTE,0.01,KNN,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
BorderlineSMOTE,0.01,LR,0.891,0.024,0.2,0.101,0.043,0.55,0.327,0.57
BorderlineSMOTE,0.01,DT,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
BorderlineSMOTE,0.01,RF,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
BorderlineSMOTE,0.01,LightGBM,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
BorderlineSMOTE,0.01,Adaboost,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
BorderlineSMOTE,0.01,GBDT,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
SVMSMOTE,0.03,SVM,0.954,0.0,0.0,0.034,0.0,0.483,0.0,0.708
SVMSMOTE,0.03,KNN,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
SVMSMOTE,0.03,LR,0.905,0.028,0.2,0.086,0.049,0.557,0.328,0.569
SVMSMOTE,0.03,DT,0.959,0.0,0.0,0.029,0.0,0.485,0.0,0.707
SVMSMOTE,0.03,RF,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
SVMSMOTE,0.03,LightGBM,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
SVMSMOTE,0.03,Adaboost,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
SVMSMOTE,0.03,GBDT,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
SMOTUNED,25.19,SVM,0.779,0.011,0.2,0.214,0.022,0.493,0.319,0.586
SMOTUNED,25.6,KNN,0.811,0.013,0.2,0.182,0.025,0.509,0.321,0.58
SMOTUNED,52.47,LR,0.823,0.041,0.6,0.174,0.076,0.713,0.695,0.309
SMOTUNED,14.11,DT,0.828,0.0,0.0,0.162,0.0,0.419,0.0,0.716
SMOTUNED,204.85,RF,0.915,0.0,0.0,0.074,0.0,0.463,0.0,0.709
SMOTUNED,65.66,LightGBM,0.782,0.033,0.6,0.216,0.062,0.692,0.68,0.322
SMOTUNED,188.58,Adaboost,0.852,0.033,0.4,0.143,0.062,0.629,0.546,0.436
SMOTUNED,179.67,GBDT,0.84,0.031,0.4,0.155,0.057,0.623,0.543,0.438
DAZZLE,1197.980684041977,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1197.980684041977,KNN,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1197.980684041977,LR,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1197.980684041977,DT,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
DAZZLE,1197.980684041977,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1197.980684041977,LightGBM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1197.980684041977,Adaboost,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1197.980684041977,GBDT,0.951,0.0,0.0,0.037,0.0,0.482,0.0,0.708
WGAN,3.86,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,3.86,KNN,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,3.86,LR,0.017,0.012,1.0,0.995,0.024,0.502,0.01,0.704
WGAN,3.86,DT,0.585,0.017,0.6,0.415,0.034,0.592,0.592,0.408
WGAN,3.86,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,3.86,LightGBM,0.954,0.0,0.0,0.034,0.0,0.483,0.0,0.708
WGAN,3.86,Adaboost,0.864,0.0,0.0,0.125,0.0,0.437,0.0,0.713
WGAN,3.86,GBDT,0.951,0.0,0.0,0.037,0.0,0.482,0.0,0.708
RP,0.5049281120300293,SVM,0.813,0.0,0.0,0.177,0.0,0.412,0.0,0.718
RP,0.5049281120300293,KNN,0.917,0.0,0.0,0.071,0.0,0.464,0.0,0.709
RP,0.5049281120300293,LR,0.762,0.021,0.4,0.233,0.039,0.583,0.526,0.455
RP,0.5049281120300293,DT,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
RP,0.5049281120300293,RF,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
RP,0.5049281120300293,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
RP,0.5049281120300293,Adaboost,0.971,0.111,0.2,0.02,0.143,0.59,0.332,0.566
